Clasificación;Título del Producto;Precio;URL
🔴 INTRUSO (Otro);"Perno anclaje 1/4x2,1/4"" 10uds";5190.0;"https://www.sodimac.cl/sodimac-cl/articulo/146667918/Perno-anclaje-1-4x2,1-4""-10uds/146667921"
🟢 TORNILLO;1000 Tornillos Lenteja 8x1/2 Punta Broca;9900.0;https://www.sodimac.cl/sodimac-cl/articulo/119730949/1000-Tornillos-Lenteja-8x1-2-Punta-Broca/119730950
🟢 TORNILLO;Tornillo Auto Pfina 8x1 1/2 Cabeza Lenteja 1000un;18990.0;https://www.sodimac.cl/sodimac-cl/articulo/149031213/Tornillo-Auto-Pfina-8x1-1-2-Cabeza-Lenteja-1000un/149031216
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8X2 Punta Broca 1000 Unidades;24990.0;https://www.sodimac.cl/sodimac-cl/articulo/151474626/Tornillo-Cabeza-De-Lenteja-8X2-Punta-Broca-1000-Unidades/151474627
🔴 INTRUSO (Otro);Autoperforante Cabeza De Lenteja 8 x 1/2 Punta Broca 1000 UND;9890.0;https://www.sodimac.cl/sodimac-cl/articulo/128474556/Autoperforante-Cabeza-De-Lenteja-8-x-1-2-Punta-Broca-1000-UND/128474560
🟢 TORNILLO;Tornillo Hex Autoperforante Punta Espada 10x1 500 Unds;19990.0;https://www.sodimac.cl/sodimac-cl/articulo/144459088/Tornillo-Hex-Autoperforante-Punta-Espada-10x1-500-Unds/144459089
🟢 TORNILLO;"Tornillo perforante 2,1/2x12"" 10uds";3090.0;"https://www.sodimac.cl/sodimac-cl/articulo/146669549/Tornillo-perforante-2,1-2x12""-10uds/146669550"
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8X2 Punta Fina 1000 Unidades;24990.0;https://www.sodimac.cl/sodimac-cl/articulo/151475649/Tornillo-Cabeza-De-Lenteja-8X2-Punta-Fina-1000-Unidades/151475650
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8X2 Punta Fina 100 Unidades;3990.0;https://www.sodimac.cl/sodimac-cl/articulo/151476067/Tornillo-Cabeza-De-Lenteja-8X2-Punta-Fina-100-Unidades/151476068
🔴 INTRUSO (Otro);Perno cabeza redonda bronce unc 3/16 x 3/4 2 unid;590.0;https://www.sodimac.cl/sodimac-cl/articulo/112751867/Perno-cabeza-redonda-bronce-unc-3-16-x-3-4-2-unid/112751868
🔴 INTRUSO (Otro);"Perno anclaje 1/4x3,1/4"" 10uds";5690.0;"https://www.sodimac.cl/sodimac-cl/articulo/146670816/Perno-anclaje-1-4x3,1-4""-10uds/146670817"
🔴 INTRUSO (Otro);"Perno anclaje 3/8x3,1/2"" 10uds";6990.0;"https://www.sodimac.cl/sodimac-cl/articulo/146669769/Perno-anclaje-3-8x3,1-2""-10uds/146669770"
🟢 TORNILLO;Tornillo Hex Autoperforante Punta Espada 10x1 1/2 100 Unds;4990.0;https://www.sodimac.cl/sodimac-cl/articulo/143124033/Tornillo-Hex-Autoperforante-Punta-Espada-10x1-1-2-100-Unds/143124034
🟢 TORNILLO;Tornillo Turbo screw Madera Madera 20 mm 4 mm 144 unidad(es);5490.0;https://www.sodimac.cl/sodimac-cl/articulo/110323304/Tornillo-Turbo-screw-Madera-Madera-20-mm-4-mm-144-unidad(es)/110323314
🟢 TORNILLO;"Tornillo Tirafondo Madera 5 "" 1/4 "" 4 unidad(es)";490.0;"https://www.sodimac.cl/sodimac-cl/articulo/112857317/Tornillo-Tirafondo-Madera-5-""-1-4-""-4-unidad(es)/112857318"
🟢 TORNILLO;Tornillos Fibrocemento Punta Fina 6x1 1/4 500 und;4990.0;https://www.sodimac.cl/sodimac-cl/articulo/142083089/Tornillos-Fibrocemento-Punta-Fina-6x1-1-4-500-und/142083090
🔴 INTRUSO (Otro);Perno anclaje 3/8 x 3 25 unidades;7290.0;https://www.sodimac.cl/sodimac-cl/articulo/110276779/Perno-anclaje-3-8-x-3-25-unidades/110276783
🟢 TORNILLO;Tornillo Lancero Tirafondo Madera 120 mm 8 mm 4 unidad(es);2290.0;https://www.sodimac.cl/sodimac-cl/articulo/114036602/Tornillo-Lancero-Tirafondo-Madera-120-mm-8-mm-4-unidad(es)/114036603
🟢 TORNILLO;"Tornillo Tirafondo Madera 1 "" 3.5 mm 2 unidad(es)";2090.0;"https://www.sodimac.cl/sodimac-cl/articulo/112857580/Tornillo-Tirafondo-Madera-1-""-3.5-mm-2-unidad(es)/112857581"
🟢 TORNILLO;"Tornillo Tirafondo Madera 1 "" 3.5 mm 2 unidad(es)";1890.0;"https://www.sodimac.cl/sodimac-cl/articulo/112857562/Tornillo-Tirafondo-Madera-1-""-3.5-mm-2-unidad(es)/112857563"
🔴 INTRUSO (Otro);"Perno cabeza plana phillips 3/16 x 2"" zincado 4 unid";690.0;"https://www.sodimac.cl/sodimac-cl/articulo/112751897/Perno-cabeza-plana-phillips-3-16-x-2""-zincado-4-unid/112751898"
🔴 INTRUSO (Otro);Perno cabeza plana phillips 3/16 x 1 1/2 zincado 4 unid;690.0;https://www.sodimac.cl/sodimac-cl/articulo/112752049/Perno-cabeza-plana-phillips-3-16-x-1-1-2-zincado-4-unid/112752050
🟢 TORNILLO;"Tornillo Tirafondo Madera 5/16 "" 2.5 mm 4 unidad(es)";690.0;"https://www.sodimac.cl/sodimac-cl/articulo/112857541/Tornillo-Tirafondo-Madera-5-16-""-2.5-mm-4-unidad(es)/112857542"
🔴 INTRUSO (Otro);Perno coche con tuerca 1/4 x 2 1/2 zincado amarillo 4unid;1290.0;https://www.sodimac.cl/sodimac-cl/articulo/112865789/Perno-coche-con-tuerca-1-4-x-2-1-2-zincado-amarillo-4unid/112865791
🟢 TORNILLO;"Tornillo Autoperforante Yeso-Cartón 2-1/4 "" 6 mm 10 unidad(es)";690.0;"https://www.sodimac.cl/sodimac-cl/articulo/110280358/Tornillo-Autoperforante-Yeso-Cartón-2-1-4-""-6-mm-10-unidad(es)/110280360"
🔴 INTRUSO (Otro);Perno parker unc 1/4 x 1 1/2 pavonado 2 unid;490.0;https://www.sodimac.cl/sodimac-cl/articulo/112740369/Perno-parker-unc-1-4-x-1-1-2-pavonado-2-unid/112740370
🟢 TORNILLO;"Tornillo lenteja 8x15/8"" punta broca";5990.0;"https://www.sodimac.cl/sodimac-cl/articulo/146667947/Tornillo-lenteja-8x15-8""-punta-broca/146667948"
🔴 INTRUSO (Otro);Perno coche con tuerca 3/16 x 1 1/2 zincado amarillo 4unid;590.0;https://www.sodimac.cl/sodimac-cl/articulo/112865847/Perno-coche-con-tuerca-3-16-x-1-1-2-zincado-amarillo-4unid/112865848
🟢 TORNILLO;Tornillo Turbo screw Madera Madera 30 mm 4 mm 144 unidad(es);7790.0;https://www.sodimac.cl/sodimac-cl/articulo/110276002/Tornillo-Turbo-screw-Madera-Madera-30-mm-4-mm-144-unidad(es)/110276005
🔴 INTRUSO (Otro);Perno coche con tuerca 1/4 x 3/4 zincado amarillo 4unid;790.0;https://www.sodimac.cl/sodimac-cl/articulo/112865803/Perno-coche-con-tuerca-1-4-x-3-4-zincado-amarillo-4unid/112865804
🔴 INTRUSO (Otro);Perno cabeza boton acero inoxidable c/tuerca M3 x 8 mm 4 unid;1790.0;https://www.sodimac.cl/sodimac-cl/articulo/112751711/Perno-cabeza-boton-acero-inoxidable-c-tuerca-M3-x-8-mm-4-unid/112751712
🔴 INTRUSO (Otro);Perno para hormigon antisismico M10 x 100 mm zincado 2 unid;6290.0;https://www.sodimac.cl/sodimac-cl/articulo/112906996/Perno-para-hormigon-antisismico-M10-x-100-mm-zincado-2-unid/112906998
🟢 TORNILLO;"Tornillo Tirafondo Madera 5/8 "" 3.2 mm 4 unidad(es)";590.0;"https://www.sodimac.cl/sodimac-cl/articulo/113208268/Tornillo-Tirafondo-Madera-5-8-""-3.2-mm-4-unidad(es)/113208269"
🟢 TORNILLO;Tornillo Autoavellanante Fibrocemento 6x1.5/8 Pf. 1000 Pz;26306.0;https://www.sodimac.cl/sodimac-cl/articulo/149085016/Tornillo-Autoavellanante-Fibrocemento-6x1.5-8-Pf.-1000-Pz/149085017
🟢 TORNILLO;Tornillo Tirafondo Madera 20 mm 3.5 mm 144 unidad(es);4890.0;https://www.sodimac.cl/sodimac-cl/articulo/110330366/Tornillo-Tirafondo-Madera-20-mm-3.5-mm-144-unidad(es)/110330376
🟢 TORNILLO;Tornillo Lancero Tirafondo Madera 140 mm 8 mm 2 unidad(es);2490.0;https://www.sodimac.cl/sodimac-cl/articulo/113948829/Tornillo-Lancero-Tirafondo-Madera-140-mm-8-mm-2-unidad(es)/113948830
🟢 TORNILLO;"Tornillo Roscalata Metal 1-1/2 "" 12 mm 100 unidad(es)";7390.0;"https://www.sodimac.cl/sodimac-cl/articulo/110330220/Tornillo-Roscalata-Metal-1-1-2-""-12-mm-100-unidad(es)/110330226"
🟢 TORNILLO;"Tornillo Tirafondo Madera 1/2 "" 6 mm 144 unidad(es)";1990.0;"https://www.sodimac.cl/sodimac-cl/articulo/110287523/Tornillo-Tirafondo-Madera-1-2-""-6-mm-144-unidad(es)/110287532"
🟢 TORNILLO;"Tornillo Roscalata Metal 3/4 "" 4.1 mm 5 unidad(es)";590.0;"https://www.sodimac.cl/sodimac-cl/articulo/113253614/Tornillo-Roscalata-Metal-3-4-""-4.1-mm-5-unidad(es)/113253617"
🟢 TORNILLO;Tornillo Concreto Concreto 110 mm 7.5 mm 5 unidad(es);2290.0;https://www.sodimac.cl/sodimac-cl/articulo/112907365/Tornillo-Concreto-Concreto-110-mm-7.5-mm-5-unidad(es)/112907366
🟢 TORNILLO;"Tornillo Autoperforante Hexagonal Techo Punta Espada 10 X 1"" - 100 Und";4290.0;"https://www.sodimac.cl/sodimac-cl/articulo/129957700/Tornillo-Autoperforante-Hexagonal-Techo-Punta-Espada-10-X-1""---100-Und/129957701"
🔴 INTRUSO (Otro);Perno parker unc 5/16 x 3/4 pavonado 2 unid;490.0;https://www.sodimac.cl/sodimac-cl/articulo/112744167/Perno-parker-unc-5-16-x-3-4-pavonado-2-unid/112744168
🟢 TORNILLO;"Tornillo Tirafondo Madera 3 "" 4.5 mm 4 unidad(es)";1090.0;"https://www.sodimac.cl/sodimac-cl/articulo/112857632/Tornillo-Tirafondo-Madera-3-""-4.5-mm-4-unidad(es)/112857633"
